pert_id	cmap_name	moa	canonical_smiles	inchi_key	moa_l1000	moa_image
BRD-A12237696	L-citrulline		NC(CCCNC(N)=O)C(O)=O	RHGKLRLOHDJJDR-UHFFFAOYSA-N		nitric oxide stimulant
BRD-K05674516	PSI-7976		CC(C)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1	TTZHDVOVKQGIBA-YBSJRAAASA-N	RNA polymerase inhibitor	HCV inhibitor
BRD-K26341917	L-ergothioneine		C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(O)=O	SSISHJJTAXXQAX-ZETCQYMHSA-O		free radical scavenger
BRD-K29133151	BRD-K29133151		OC(=O)CCCC=C/C[C@@H]1CO[C@@H](O[C@@H]1c1ccccc1O)C(F)(F)F	ZWAVGFSZMACJHA-PMNBYGLBSA-N		thromboxane receptor antagonist
BRD-K29968218	KX-2391		O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1	HUNGUWOZPQBXGX-UHFFFAOYSA-N		SRC inhibitor|tubulin polymerization inhibitor
BRD-K62277907	PYM-50028		C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@]11CC[C@H](C)CO1	GMBQZIIUCVWOCD-WWASVFFGSA-N	Neurotrophic agent	neurotrophic agent
BRD-K68552125	BRD-K68552125		CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O	PHEDXBVPIONUQT-RGYGYFBISA-N	PKC activator	PKC activator
BRD-K71822263	D-serine		N[C@H](CO)C(O)=O	MTCFGRXMJLQNBG-UWTATZPHSA-N		glutamate receptor agonist
BRD-K76022557	BRD-K76022557		CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	Dopamine receptor agonist|TRPA1 modulator	dopamine receptor agonist
BRD-K82244583	MEK-162		Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(cc12)C(=O)NOCCO	ACWZRVQXLIRSDF-UHFFFAOYSA-N	MEK inhibitor	MEK inhibitor
BRD-K87737963	CYT-387		O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	ZVHNDZWQTBEVRY-UHFFFAOYSA-N		JAK inhibitor
BRD-K92041145	O6-benzylguanine		Nc1nc(OCc2ccccc2)c2[nH]cnc2n1	KRWMERLEINMZFT-UHFFFAOYSA-N		O6-alkylguanine-DNA alkyltransferase inhibitor
BRD-K97101532	VX-661		CC(C)(CO)c1cc2cc(NC(=O)C3(CC3)c3ccc4OC(F)(F)Oc4c3)c(F)cc2n1C[C@@H](O)CO	MJUVRTYWUMPBTR-MRXNPFEDSA-N		CFTR channel agonist
BRD-K92301463	BRD-K92301463		CCCCC(C)(C)[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CC=C/CCCC(O)=O	QAOBBBBDJSWHMU-WMBBNPMCSA-N	Prostanoid receptor agonist	prostanoid receptor agonist
BRD-A29731977	BRD-A29731977		CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O	DOMWKUIIPQCAJU-JKPPDDDBSA-N	Progesterone receptor agonist	progesterone receptor agonist
BRD-K08703257	BRD-K08703257		NC(=O)c1cccc(N)c1	GSCPDZHWVNUUFI-UHFFFAOYSA-N	PARP inhibitor	PARP inhibitor
BRD-K37846922	BRD-K37846922		C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12	VFTRKSBEFQDZKX-UHFFFAOYSA-N	CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor	CHK inhibitor|cytochrome P450 activator|indoleamine 2,3-dioxygenase inhibitor
BRD-K57631554	aminolevulinic-acid		NCC(=O)CCC(O)=O	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	Oxidative stress inducer	oxidizing agent
BRD-K16133773	BRD-K16133773		CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@H]3CC=C2C1	UVIQSJCZCSLXRZ-HCWFNAMGSA-N	17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor	androgen biosynthesis inhibitor
BRD-K67174965	BRD-K67174965		CC(=O)N[C@H](CS)C(O)=O	PWKSKIMOESPYIA-SCSAIBSYSA-N	Mucolytic agent	mucolytic agent
BRD-K04887706	BRD-K04887706		O=c1[nH]c2ccccc2n1C3CCN(Cc4ccc(cc4)c5nc6cc7[nH]cnc7cc6nc5c8ccccc8)CC3	BIWGYFZAEWGBAL-UHFFFAOYSA-N	AKT inhibitor	
BRD-K15318383	BRD-K15318383		C[C@]12CC[C@@](C)(C[C@H]1C1=CC(=O)[C@@H]3[C@]4(C)CC[C@H](O[C@H]5O[C@@H]([C@@H](O)[C@H](O)[C@@H]5O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)C(O)=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(O)=O	LPLVUJXQOOQHMX-FKSWRZCVSA-N	Thrombin inhibitor	thrombin inhibitor
BRD-A63236097	BRD-A63236097		C[C@@]1(CO)[C@H](O)CC[C@@]2(C)[C@@H](CC=C3/C(O)COC3=O)C(=C)CC[C@H]12	BOJKULTULYSRAS-JDTKQMTISA-N	Tumor necrosis factor production inhibitor	tumor necrosis factor production inhibitor
BRD-A20239487	BRD-A20239487		CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	METKIMKYRPQLGS-UHFFFAOYSA-N	Adrenergic receptor antagonist	adrenergic receptor antagonist
BRD-K22848513	BRD-K22848513		COC(=O)[C@]12CCC(C)(C)C[C@@H]1[C@@H]1C(=O)C=C3[C@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2	WPTTVJLTNAWYAO-RRPQCQSHSA-N	Nuclear factor erythroid derived, like (NRF2) activator|Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFkB pathway inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent	nuclear factor erythroid derived|like (NRF2) activator
BRD-K31342827	BRD-K31342827		CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3c[nH]c4ccccc34)c5ccccc15	QMGUOJYZJKLOLH-UHFFFAOYSA-N	CDK inhibitor|PKC inhibitor	PKC inhibitor
BRD-A04553218	BRD-A04553218		CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	SOYKEARSMXGVTM-UHFFFAOYSA-N	Histamine receptor antagonist	histamine receptor antagonist
BRD-K89997465	BRD-K89997465		CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12	ZPEIMTDSQAKGNT-UHFFFAOYSA-N	Dopamine receptor antagonist	dopamine receptor antagonist
BRD-K59058766	BRD-K59058766		CN(C)CCC=C1/c2ccccc2Sc2ccc(Cl)cc12	WSPOMRSOLSGNFJ-VGOFMYFVSA-N	Dopamine receptor antagonist	dopamine receptor antagonist
BRD-A26384407	chlortalidone		NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12	JIVPVXMEBJLZRO-UHFFFAOYSA-N	Diuretic	carbonic anhydrase inhibitor
BRD-K16762525	BRD-K16762525		CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	AGOYDEPGAOXOCK-BVGAJGDJSA-N	Bacterial 50S ribosomal subunit inhibitor	bacterial 50S ribosomal subunit inhibitor
BRD-K61195623	BRD-K61195623		COc1ccc(cc1O)C=C/c1cc(OC)c(OC)c(OC)c1	HVXBOLULGPECHP-WAYWQWQTSA-N		tubulin polymerization inhibitor
BRD-K59573506	BRD-K59573506		CC(=O)O[C@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@H]5[C@]4(C)[C@@H]3CC[C@]12C)C(C)=O	UWFYSQMTEOIJJG-KTIWLQMPSA-N	Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist	androgen receptor antagonist
BRD-K47000838	BRD-K47000838		C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)C=C/[C@H](O)CCC[C@@H](C)CC=C[C@H]2[C@H](O)C1=C	GBOGMAARMMDZGR-FFXRSMCQSA-N	Microtubule inhibitor	microtubule inhibitor
BRD-K41170226	BRD-K41170226		C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	KXGVEGMKQFWNSR-LLQZFEROSA-N	G protein coupled receptor agonist|Unidentified pharmacological activity|Biliverdin reductase A activator|G protein-coupled receptor agonist	biliverdin reductase A activator|G protein-coupled receptor agonist
BRD-K33211335	BRD-K33211335		COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1	MKXZASYAUGDDCJ-NJAFHUGGSA-N	Glutamate receptor antagonist|Sigma receptor agonist	glutamate receptor antagonist|sigma receptor agonist
BRD-K45330754	BRD-K45330754		CCC(c1ccc(O)cc1)=C(CC)c1ccc(O)cc1	RGLYKWWBQGJZGM-ISLYRVAYSA-N	Estrogen receptor agonist	estrogen receptor agonist
BRD-K97440753	BRD-K97440753		CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	DEQITUUQPICUMR-HJPBWRTMSA-N	Adrenergic receptor antagonist|Prolactin inhibitor	adrenergic receptor antagonist|prolactin inhibitor
